City Number,City Name,Latitude,Longitude,Date,Temperature (°C),Humidity (%),Precipitation (%),Wind Speed (km/h),Clothing Recommendation,Activity Recommendation,Season
1,Skardu,35.2971,75.6333,2023-01-01,-17.3,55,7,3.3,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Winter
1,Skardu,35.2971,75.6333,2023-01-02,-12.4,89,2,8.9,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Winter
1,Skardu,35.2971,75.6333,2023-01-03,-23.0,49,16,9.0,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Winter
1,Skardu,35.2971,75.6333,2023-01-04,-13.9,89,13,3.3,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Winter
1,Skardu,35.2971,75.6333,2023-01-05,-13.1,20,24,12.1,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Winter
1,Skardu,35.2971,75.6333,2023-01-06,-14.8,39,6,14.4,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Winter
1,Skardu,35.2971,75.6333,2023-01-07,-19.9,32,11,12.7,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Winter
1,Skardu,35.2971,75.6333,2023-01-08,-13.0,78,17,1.9,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Winter
1,Skardu,35.2971,75.6333,2023-01-09,-14.2,57,26,9.4,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Winter
1,Skardu,35.2971,75.6333,2023-01-10,-12.8,44,22,1.0,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Winter
1,Skardu,35.2971,75.6333,2023-01-11,-12.6,30,27,3.5,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Winter
1,Skardu,35.2971,75.6333,2023-01-12,-21.2,66,5,5.6,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Winter
1,Skardu,35.2971,75.6333,2023-01-13,-20.2,29,19,9.5,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Winter
1,Skardu,35.2971,75.6333,2023-01-14,-17.0,79,12,4.0,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Winter
1,Skardu,35.2971,75.6333,2023-01-15,-10.5,48,21,4.9,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Winter
1,Skardu,35.2971,75.6333,2023-01-16,-15.8,24,25,4.7,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Winter
1,Skardu,35.2971,75.6333,2023-01-17,-19.9,60,6,9.8,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Winter
1,Skardu,35.2971,75.6333,2023-01-18,-14.4,78,4,4.0,"Heavy winter coat, thermal layers, gloves, scarf, hat, insulated boots","Skiing, indoor gatherings, hot drinks, museum visits",Winter
